time,CPI,wage,return of equity,10 year,3 month
2008/11/15,-0.017705477,-0.006056285,-13.94432691,3.971,0.01
2008/12/15,-0.008233522,-0.011058006,-12.20244334,3.442,0.11
2009/1/15,0.002530771,-0.010073268,13.66392227,3.313,0.24
2009/2/15,0.003642661,-0.008735027,-5.514447827,3.447,0.26
2009/3/15,-0.000987283,-0.003313843,-11.6274026,2.791,0.21
2009/4/15,0.001007083,0.003066539,18.68299849,2.728,0.14
2009/5/15,0.001471494,0.015294127,10.77154707,2.851,0.14
2009/6/15,0.008299612,-0.010211596,9.837123712,3.285,0.19
2009/7/15,-0.000297965,-0.003505117,0.247604018,3.238,0.18
2009/8/15,0.003348453,0.000306947,10.72847866,3.262,0.15
2009/9/15,0.001930887,0.002745088,1.682204003,3.547,0.14
2009/10/15,0.003001932,-0.000818791,5.257247004,3.495,0.05
2009/11/15,0.003348591,0.004643617,3.305232801,3.564,0.06
2009/12/15,0.000520176,0.003814718,8.266710647,3.351,0.06
2010/1/15,0.000648732,0.004300899,2.492740111,3.506,0.08
2010/2/15,-0.000951777,-0.001847024,-0.333558425,3.453,0.13
2010/3/15,0.000331368,0.003438874,4.384836897,3.62,0.16
2010/4/15,0.000230041,0.007302963,7.451954899,3.7,0.16
2010/5/15,-0.000519772,0.00759024,3.900759698,3.643,0.16
2010/6/15,-0.000418795,0.001463199,-8.851892769,3.434,0.18
2010/7/15,0.001869254,0.003299429,-1.847781379,3.343,0.15
2010/8/15,0.001461363,0.005232921,11.60661436,3.349,0.14
2010/9/15,0.001615249,0.000589022,-1.937572522,2.614,0.16
2010/10/15,0.003481846,0.005242391,8.124842218,2.6,0.12
2010/11/15,0.002533842,0.004732323,5.277400893,2.62,0.17
2010/12/15,0.004016576,0.009459449,3.761337915,2.704,0.12
2011/1/15,0.003243042,0.015815674,7.2957364,2.792,0.15
2011/2/15,0.003214475,0.005491931,4.618463129,2.815,0.15
2011/3/15,0.005173548,0.002490337,1.75363952,3.562,0.09
2011/4/15,0.004694099,0.001882163,3.866432754,3.573,0.04
2011/5/15,0.003181715,0.002829349,4.062247356,3.525,0.06
2011/6/15,0,0.005028403,-1.438542043,3.083,0.03
2011/7/15,0.002620037,0.006459695,3.870920087,3.145,0.1
2011/8/15,0.003154462,0.001642048,-1.876043951,3.026,0.02
2011/9/15,0.002171548,-0.000973134,-4.202109345,2.129,0.02
2011/10/15,0.000675208,0.001026532,-6.283664336,2.062,0.01
2011/11/15,0.00184785,0.000269469,13.06030849,2.102,0.01
2011/12/15,0.000237708,0.008171695,4.358781233,2.021,0.02
2012/1/15,0.002803413,0.007029186,3.256136046,1.978,0.06
2012/2/15,0.002268937,0.007967804,7.407054707,1.973,0.08
2012/3/15,0.002263801,0.005089505,5.856178356,2.007,0.07
2012/4/15,0.001712583,0.004096095,5.301255886,2.035,0.1
2012/5/15,-0.00245981,0.000289832,1.16838426,1.993,0.07
2012/6/15,-0.000944378,0.002245547,-6.749357101,1.705,0.09
2012/7/15,-0.000135664,-0.001973099,9.034073738,1.723,0.11
2012/8/15,0.005991903,0.002071143,2.985231013,1.717,0.09
2012/9/15,0.004972938,0.00851316,4.536312666,1.614,0.1
2012/10/15,0.002891938,0.008656271,4.915189751,1.625,0.11
2012/11/15,-0.00162742,0.012482239,1.050036899,1.639,0.08
2012/12/15,-2.59E-05,0.026046016,1.020027529,1.626,0.05
2013/1/15,0.001595524,-0.051590314,3.476979411,1.645,0.07
2013/2/15,0.005888422,0.003598082,8.288766644,1.683,0.11
2013/3/15,-0.002969893,0.000524486,2.552414732,1.974,0.07
2013/4/15,-0.001967174,0.000854535,5.06619286,1.972,0.05
2013/5/15,0.000168208,0.006521926,3.504197559,1.936,0.04
2013/6/15,0.001992281,0.004056029,5.776932457,1.812,0.04
2013/7/15,0.001687059,-0.000404674,0.63795845,1.87,0.04
